# KurdNet (Kurdish WordNet)	ckb	https://github.com/sinaahmadi/kurdnet	CC BY SA 4.0
00065370-v	ckb:def	0	ئێشدار بوون؛ دەستەو یەخە بوون.
00065370-v	ckb:lemma	هەیەتی
00065495-v	ckb:def	0	لەشساغ بوون؛ هەست بە ئاسوودەیی کردن.
00065639-v	ckb:def	0	ئێش کێشان(بەتایبەت ئێشی زام و ناخۆشی).
00066025-v	ckb:def	0	لەسەرە خۆ یان بەنەرمی گریان.
00066191-v	ckb:def	0	لە خەفەت، تووڕەیی یان ئێش فرمێسک ڕشتن. 
00066216-n	ckb:def	0	کاروڕەوتێک کە ناتوانێ بە ئامانجە دیاریکراوەکەی بگا.
00066636-n	ckb:def	0	سەرنەکەوتن.
00066636-n	ckb:lemma	سەرنەکەوتن
00066636-n	ckb:lemma	شکست
00066977-v	ckb:def	0	لە فرمێسک پڕبوون یان فرمێسک ڕشتن.
00066977-v	ckb:lemma	ئەسرین
00066977-v	ckb:lemma	فرمێسک
00067526-n	ckb:def	0	کارورەوتی لە کیس چوون و لە دەست بوونەوە
00067526-n	ckb:lemma	خەسار
00067526-n	ckb:lemma	زیان
00067526-n	ckb:lemma	زەرەر
00067707-n	ckb:def	0	کارورەوتی بە دەستەوە دان(بەپێی مەرجانی دیاریکراودا).
00069879-v	ckb:def	0	بوونە هۆی ئازارگەیشتن بە لەش یان زامدار بوون.
00070965-n	ckb:def	0	کردەوەیەکی نابەجێ کە بە هۆی خراپ هەڵسەنگاندن یان ڕەچاونەگرتن یان سەرنجنەدان ڕووبدا.
00071803-v	ckb:def	0	نایاسایییانە خۆ تووشی کێشە و ئازیەتی کردن.
00071803-v	ckb:lemma	بریندار بوون
00071803-v	ckb:lemma	زەرپ پێگەێشتن به ماسولکە
00071803-v	ckb:lemma	هەڵپەلیانی دەمار
00071803-v	ckb:lemma	ڕاکێشان
00071803-v	ckb:lemma	کێشان
00072261-n	ckb:def	0	ئەو کارەورەوتەی ببێتە هۆی بێئابڕووییی ئەو کەسەی دەیکا.
00074524-n	ckb:def	0	هەڵەیەک کە هۆکارەکەی سەرنج نەدان بێ.
00074558-v	ckb:def	0	بوونە هۆی زگ وەستان.
00074790-n	ckb:def	0	هەڵەیەکی ئابڕووبەر.
00074790-n	ckb:lemma	هەڵەی زل
00075021-v	ckb:def	0	ماندوویی یان وەرەز بوونێک کە  بەهۆی زێدەکەڵکوەرگرتن یان پەرۆشی و دڵەڕاوکێی زۆرەوە ڕوودەدا.
00078138-v	ckb:def	0	هەست بە ساردی کردن.
00078138-v	ckb:lemma	جێگیرکردن
00078138-v	ckb:lemma	سەهۆڵ بەستن
00078138-v	ckb:lemma	قەپات کردن
00078138-v	ckb:lemma	وەستان
00078138-v	ckb:lemma	وەستاندن
00081072-v	ckb:def	0	دان یان دابین کردن(ی ساڕێژکەری پژیشکی).
00081072-v	ckb:lemma	بەڕێوەبردن
00081072-v	ckb:lemma	کاردەگێرێ
00083585-n	ckb:def	0	لە ڕێگای پاشماوەی بنەماڵەیی، بە نێوبانگ یان ڕێگا و جیگایەک گەیشتن.
00083809-v	ckb:def	0	کارورەوتی نەشتەرگەری کردن.
00087454-v	ckb:def	0	ناخۆش و ناساغ بوون.
00089324-v	ckb:def	0	لەنێوبردنی وردەژینەوەرەکان یان پاتۆژێنەکان لە ڕێگای شووشتنەوە.
00089324-v	ckb:lemma	پاقژ دەکا
00089351-n	ckb:def	0	وە دەست هێنانەوەی شتێک.
